id,area
742,Kyongnam
743,Kyongnam
744,Kyongbuk
745,Kyongnam
746,Kyongnam
747,Kyongnam
748,Kyongnam
749,Kyongnam
750,Kyongnam
751,Kyongnam
752,Kyongnam
753,Kyongnam
754,Metropolitan
755,Metropolitan
756,Kyongnam
757,Kyongnam
758,Kyongnam
759,Kyongnam
760,Kyongnam
761,Kyongnam
762,Kyongnam
763,Kyongnam
764,Metropolitan
765,Metropolitan
766,Metropolitan
767,Metropolitan
768,Kyongnam
769,Kyongnam
770,Kyongnam
771,Kyongbuk
772,Metropolitan
773,Kyongnam
774,Kyongnam
775,Kyongnam
776,Kyongnam
777,Kyongnam
778,Kyongnam
779,Kyongnam
780,Metropolitan
781,Kyongnam
782,Kyongnam
783,Kyongnam
784,Kyongnam
785,Kyongnam
786,Kyongnam
787,Kyongnam
788,Kyongnam
789,Kyongnam
790,Metropolitan
791,Kyongnam
792,Kyongnam
793,Kyongbuk
794,Kyongnam
795,Kyongnam
796,Kyongnam
797,Kyongnam
798,Metropolitan
799,Kyongbuk
800,Kyongnam
801,Kyongbuk
802,Kyongnam
803,Kyongnam
804,Kyongnam
805,Kyongnam
806,Kyongnam
807,Jeonam
808,Metropolitan
809,Chungnam
810,Metropolitan
811,Kyongnam
812,Metropolitan
813,Metropolitan
814,Metropolitan
815,Metropolitan
816,Kyongnam
817,Metropolitan
818,Metropolitan
819,Metropolitan
820,Metropolitan
821,Kyongbuk
822,Metropolitan
823,Metropolitan
824,Jeonam
825,Kyongnam
826,Kyongnam
827,Kyongnam
828,Kyongnam
829,Kyongnam
830,Kyongnam
831,Kyongnam
832,Metropolitan
833,Kyongnam
834,Kyongnam
835,Kyongnam
836,Kyongbuk
837,Kyongbuk
838,Kyongnam
839,Kyongnam
840,Kyongnam
841,Kyongnam
842,Kyongnam
843,Kyongnam
844,Metropolitan
845,Kyongnam
846,Metropolitan
847,Kyongnam
848,Kyongnam
849,Kyongnam
850,Kyongnam
851,Metropolitan
852,Kyongnam
853,Kyongnam
854,Kyongnam
855,Kyongnam
856,Kyongnam
857,Kyongnam
858,Kyongnam
859,Kyongnam
860,Kyongnam
861,Kyongnam
862,Kyongnam
863,Kyongnam
864,Kyongnam
865,Kyongnam
866,Kyongnam
867,Kyongbuk
868,Kyongnam
869,Kyongbuk
870,Kyongnam
871,Kyongnam
872,Kyongnam
873,Kyongnam
874,Kyongbuk
875,Kyongnam
876,Kyongnam
877,Kyongnam
878,Metropolitan
879,Kyongnam
880,Jeonam
881,Kyongnam
882,Kyongnam
883,Kyongnam
884,Kyongnam
885,Kyongnam
886,Kyongnam
887,Kyongnam
888,Kyongnam
889,Metropolitan
890,Kyongnam
891,Kyongbuk
892,Kyongnam
893,Kyongnam
894,Kyongnam
895,Kyongnam
896,Kyongnam
897,Kyongnam
898,Kyongnam
899,Kyongnam
900,Kyongnam
901,Kyongnam
902,Kyongnam
903,Kyongnam
904,Kyongbuk
905,Kyongnam
906,Kyongnam
907,Kyongnam
908,Kyongnam
909,Kyongnam
910,Kyongnam
911,Kyongnam
912,Kyongbuk
913,Kyongbuk
914,Kyongnam
915,Kyongnam
916,Kyongnam
917,Kyongnam
918,Kyongnam
919,Kyongnam
920,Kyongnam
921,Kyongnam
922,Kyongnam
923,Kyongnam
924,Metropolitan
925,Kyongnam
926,Kyongnam
927,Kyongnam
928,Kyongnam
929,Kyongnam
930,Kyongnam
931,Kyongnam
932,Kyongnam
933,Kyongnam
934,Kyongnam
935,Kyongnam
936,Kyongnam
937,Kyongnam
938,Kyongnam
939,Kyongnam
940,Kyongnam
941,Kyongnam
942,Kyongnam
943,Kyongnam
944,Kyongnam
945,Kyongnam
946,Kyongnam
947,Kyongnam
948,Kyongnam
949,Kyongnam
950,Kyongnam
951,Kyongnam
952,Kyongnam
953,Kyongnam
954,Kyongnam
955,Kyongnam
956,Kyongnam
957,Kyongnam
958,Kyongnam
959,Kyongnam
960,Kyongnam
961,Kyongnam
962,Kyongnam
963,Kyongnam
964,Kyongnam
965,Metropolitan
966,Kyongnam
967,Kyongnam
968,Kyongnam
969,Kyongnam
970,Kyongnam
971,Kyongnam
972,Metropolitan
973,Kyongnam
974,Kyongbuk
975,Kyongnam
976,Kyongnam
977,Kyongnam
978,Jeonam
979,Kyongnam
980,Kyongnam
981,Kyongnam
982,Metropolitan
983,Kyongnam
984,Kyongnam
985,Kyongnam
986,Kyongnam
987,Kyongnam
988,Kyongnam
989,Kyongnam
990,Kyongnam
991,Metropolitan
992,Kyongnam
993,Kyongnam
994,Kyongnam
995,Kyongnam
996,Kyongbuk
997,Kyongnam
998,Kyongnam
999,Kyongnam
1000,Kyongnam
1001,Metropolitan
1002,Kyongnam
1003,Metropolitan
1004,Kyongnam
1005,Kyongnam
1006,Kyongnam
1007,Kyongnam
1008,Metropolitan
1009,Kyongnam
1010,Kyongnam
1011,Metropolitan
1012,Metropolitan
1013,Metropolitan
1014,Metropolitan
1015,Kyongnam
1016,Kyongbuk
1017,Metropolitan
1018,Kyongnam
1019,Jeonam
1020,Kyongnam
1021,Kyongnam
1022,Kyongnam
1023,Metropolitan
1024,Metropolitan
1025,Kyongnam
1026,Kyongnam
1027,Kyongnam
1028,Kyongnam
1029,Kyongnam
1030,Kyongnam
1031,Kyongbuk
1032,Kyongnam
1033,Kyongbuk
1034,Kyongnam
1035,Metropolitan
1036,Metropolitan
1037,Kyongnam
1038,Kyongnam
1039,Kyongnam
1040,Kyongnam
1041,Kyongnam
1042,Kyongnam
1043,Kyongnam
1044,Kyongnam
1045,Kyongnam
1046,Kyongnam
1047,Kyongnam
1048,Kyongnam
1049,Kyongnam
1050,Kyongnam
1051,Kyongnam
1052,Kyongnam
1053,Kyongnam
1054,Kyongnam
1055,Kyongnam
1056,Metropolitan
1057,Kyongnam
1058,Kyongnam
1059,Kyongnam
1060,Kyongnam
1061,Kyongnam
1062,Kyongnam
1063,Kyongnam
1064,Kyongnam
1065,Kyongnam
1066,Metropolitan
1067,Kyongnam
1068,Kyongnam
1069,Kyongnam
1070,Kyongnam
1071,Kyongnam
1072,Kyongbuk
1073,Kyongbuk
1074,Kyongnam
1075,Kyongnam
1076,Kyongnam
1077,Kyongnam
1078,Kyongnam
1079,Metropolitan
1080,Kyongnam
1081,Kyongnam
1082,Metropolitan
1083,Kyongnam
1084,Kyongnam
1085,Kyongnam
1086,Kyongnam
1087,Kyongnam
1088,Kyongnam
1089,Metropolitan
1090,Kyongbuk
1091,Kyongnam
1092,Kyongnam
1093,Kyongnam
1094,Kyongnam
1095,Kyongnam
1096,Kyongnam
1097,Kyongnam
1098,Kyongnam
1099,Kyongbuk
1100,Kyongnam
1101,Kyongnam
1102,Kyongnam
1103,Kyongnam
1104,Kyongbuk
1105,Kyongnam
1106,Kyongnam
1107,Kyongnam
1108,Kyongnam
1109,Kyongnam
1110,Kyongbuk
1111,Kyongnam
1112,Kyongnam
1113,Kyongnam
1114,Kyongnam
1115,Kyongnam
1116,Kyongnam
1117,Jeonbuk
1118,Kyongnam
1119,Kyongnam
1120,Kyongnam
1121,Kyongnam
1122,Kyongnam
1123,Kyongnam
1124,Kyongnam
1125,Kyongnam
1126,Kyongnam
1127,Metropolitan
1128,Kyongnam
1129,Kyongnam
1130,Kyongnam
1131,Kyongnam
1132,Kyongnam
1133,Kyongnam
1134,Metropolitan
1135,Kyongnam
1136,Kyongnam
1137,Kyongnam
1138,Kyongnam
1139,Kyongnam
1140,Kyongnam
1141,Kyongbuk
1142,Metropolitan
1143,Kyongnam
1144,Kyongnam
1145,Kyongnam
1146,Kyongnam
1147,Kyongnam
1148,Kyongnam
1149,Chungbuk
1150,Kyongnam
1151,Kyongnam
1152,Kyongnam
1153,Metropolitan
1154,Kyongnam
