id,department,main_dep
705,Production_support,0
706,Production_support,0
707,Production_support,0
708,Production_support,0
709,Production_support,0
710,Production_support,0
711,Business_management,1
712,Design,1
713,Production_support,0
714,Design,1
715,Business_Support,0
716,Quality_Management,1
717,Design,1
718,Technology,1
719,Business_management,1
720,Production_support,0
721,Production_Management,1
722,Production_support,0
723,Production_support,0
724,Production_Management,1
725,Business_Support,0
726,Executives,0
727,Design,1
728,Production_support,0
729,Production_Management,1
730,Production_support,0
731,Production_support,0
732,Sales,1
733,Design,1
734,Business_Support,0
735,Quality_Management,1
737,Design,1
738,Quality_Management,1
739,Quality_Management,1
740,Design,1
741,Production_support,0
742,Business_management,1
743,Production_Management,1
744,Design,1
745,Production_Management,1
746,Production_support,0
747,Quality_Management,1
748,Design,1
749,Executives,0
750,Purchasing,0
751,Production_Management,1
752,Business_Support,0
753,Design,1
755,Design,1
756,Business_management,1
757,Design,1
758,Design,1
759,Design,1
760,Purchasing,0
761,Financial_management,0
762,Business_Support,0
763,Purchasing,0
764,Sales,1
765,Sales,1
766,Design,1
767,Sales,1
768,Business_Support,0
769,Sales,1
770,Sales,1
771,Business_management,1
772,Production_support,0
773,Production_Management,1
774,Production_Management,1
775,Design,1
776,Design,1
777,Design,1
778,Design,1
779,Production_Management,1
780,Business_management,1
781,Design,1
782,Business_Support,0
783,Design,1
784,Design,1
785,Design,1
786,Quality_Management,1
787,Design,1
789,Sales,1
790,Business_management,1
791,Design,1
792,Production_Management,1
793,Production_support,0
794,Production_Management,1
795,Production_Management,1
796,Design,1
797,Executives,0
798,Business_Support,0
799,Quality_Management,1
800,Quality_Management,1
801,Quality_Management,1
802,Quality_Management,1
803,Quality_Management,1
804,Production_Management,1
805,Quality_Management,1
806,Quality_Management,1
807,Quality_Management,1
808,Business_Support,0
809,Business_management,1
810,Design,1
811,Purchasing,0
812,Design,1
813,Business_management,1
814,Business_management,1
815,Production_Management,1
816,Sales,1
817,Design,1
818,Design,1
819,Business_management,1
820,Business_management,1
821,Design,1
822,Design,1
823,Design,1
824,Business_management,1
825,Production_support,0
826,Production_support,0
827,Production_support,0
828,Production_support,0
829,Production_support,0
830,Production_support,0
831,Production_support,0
832,Design,1
833,Production_Management,1
834,Business_management,1
835,Design,1
836,Design,1
837,Design,1
838,Design,1
839,Design,1
840,Design,1
841,Technology,1
842,Technology,1
843,Production_support,0
844,Design,1
845,Business_management,1
846,Design,1
847,Business_management,1
848,Production_Management,1
849,Production_Management,1
850,Design,1
851,Business_management,1
852,Business_Support,0
853,Production_Management,1
854,Production_support,0
855,Production_support,0
856,Production_support,0
857,Production_support,0
858,Financial_management,0
859,Production_Management,1
860,Production_Management,1
861,Production_Management,1
862,Design,1
863,Research,0
864,Production_Management,1
865,Production_Management,1
866,Production_Management,1
867,Production_support,0
868,Design,1
870,Business_management,1
871,Production_support,0
872,Sales,1
873,Sales,1
874,Business_management,1
875,Production_Management,1
876,Business_management,1
877,Business_management,1
878,Design,1
879,Production_support,0
880,Design,1
881,Business_management,1
882,Business_Support,0
883,Production_support,0
884,Business_management,1
885,Business_management,1
886,Business_Support,0
887,Sales,1
888,Production_support,0
889,Sales,1
890,Production_support,0
891,Production_Management,1
892,Production_Management,1
893,Design,1
894,Technology,1
895,Production_Management,1
896,Production_Management,1
897,Production_support,0
898,Production_support,0
899,Production_support,0
900,Production_support,0
901,Production_support,0
902,Production_Management,1
903,Production_Management,1
904,Production_Management,1
905,Production_Management,1
906,Business_Support,0
907,Production_Management,1
908,Production_Management,1
909,Design,1
910,Design,1
911,Sales,1
912,Production_support,0
913,Production_support,0
914,Production_Management,1
915,Production_Management,1
916,Quality_Management,1
917,Quality_Management,1
918,Business_Support,0
919,Quality_Management,1
920,Production_support,0
921,Design,1
922,Production_Management,1
923,Production_Management,1
924,Business_management,1
925,Purchasing,0
926,Quality_Management,1
927,Production_support,0
928,Production_support,0
929,Production_support,0
930,Production_support,0
931,Production_support,0
932,Production_support,0
933,Production_Management,1
934,Production_support,0
935,Production_support,0
936,Technology,1
937,Production_support,0
938,Production_support,0
939,Production_support,0
940,Production_Management,1
941,Technology,1
942,Quality_Management,1
943,Executives,0
944,Production_Management,1
945,Purchasing,0
946,Quality_Management,1
947,Quality_Management,1
948,Business_Support,0
949,Business_Support,0
950,Production_Management,1
951,Production_Management,1
952,Quality_Management,1
953,Production_Management,1
954,Production_Management,1
955,Production_support,0
956,Purchasing,0
957,Production_Management,1
958,Production_Management,1
959,Quality_Management,1
960,Production_Management,1
961,Production_Management,1
962,Production_Management,1
963,Production_Management,1
964,Business_Support,0
965,Purchasing,0
966,Design,1
967,Production_support,0
968,Production_support,0
969,Production_support,0
970,Production_Management,1
971,Sales,1
972,Sales,1
973,Production_support,0
974,Business_management,1
975,Quality_Management,1
976,Quality_Management,1
977,Design,1
978,Design,1
979,Design,1
980,Design,1
981,Production_support,0
982,Quality_Management,1
983,Quality_Management,1
984,Quality_Management,1
985,Business_management,1
986,Production_Management,1
987,Production_support,0
988,Executives,0
989,Production_Management,1
990,Financial_management,0
991,Sales,1
992,Sales,1
993,Quality_Management,1
994,Production_support,0
995,Business_management,1
996,Quality_Management,1
997,Sales,1
998,Production_Management,1
999,Quality_Management,1
1000,Production_Management,1
1001,Quality_Management,1
1002,Quality_Management,1
1003,Quality_Management,1
1004,Design,1
1005,Quality_Management,1
1006,Production_support,0
1007,Business_Support,0
1008,Design,1
1009,Production_Management,1
1010,Design,1
1011,Business_management,1
1012,Design,1
1013,Business_management,1
1014,Design,1
1015,Production_Management,1
1016,Production_Management,1
1017,Design,1
1018,Sales,1
1019,Quality_Management,1
1020,Quality_Management,1
1021,Quality_Management,1
1022,Purchasing,0
1023,Business_management,1
1024,Business_management,1
1025,Production_Management,1
1026,Quality_Management,1
1027,Production_Management,1
1028,Business_management,1
1029,Technology,1
1030,Production_Management,1
1031,Research,0
1032,Financial_management,0
1033,Production_Management,1
1034,Business_Support,0
1035,Design,1
1036,Design,1
1037,Quality_Management,1
1038,Business_Support,0
1039,Executives,0
