직원id,입사일,퇴사일,근속연수(연),근속연수(월),근속연수(일)
309,2010-03-02,//,9,112,3438
310,2010-03-02,2016-04-30,6,73,2251
311,2010-03-02,2011-05-31,1,14,455
312,2010-03-02,2010-09-20,0,6,202
313,2010-03-02,//,9,112,3438
314,2010-03-02,2010-09-03,0,6,185
315,2010-03-02,2010-10-29,0,7,241
316,2010-03-02,//,9,112,3438
317,2010-03-02,2013-04-14,3,37,1139
318,2010-03-02,2012-09-07,2,30,920
319,2010-03-02,//,9,112,3438
320,2010-03-02,2011-10-20,1,19,597
321,2010-03-02,2010-08-17,0,5,168
322,2010-03-03,2012-07-13,2,28,863
323,2010-03-04,//,9,112,3436
324,2010-03-03,//,9,112,3437
325,2010-03-04,2016-02-29,5,71,2188
326,2010-05-17,2012-08-31,2,27,837
327,2010-05-24,2011-05-23,0,11,364
328,2010-06-17,2012-09-10,2,26,816
329,2010-06-21,2013-06-30,3,36,1105
330,2010-06-08,2012-02-15,1,20,617
331,2010-06-28,2012-03-20,1,20,631
332,2010-07-01,2015-08-14,5,61,1870
333,2010-07-12,2011-10-14,1,15,459
334,2010-07-21,2015-05-31,4,58,1775
335,2010-07-21,2011-09-09,1,13,415
336,2010-07-21,2013-12-25,3,41,1253
337,2010-07-21,//,9,108,3297
338,2010-07-21,2011-12-01,1,16,498
339,2010-08-02,2011-03-09,0,7,219
340,2010-08-02,2012-02-15,1,18,562
341,2010-08-02,2011-06-20,0,10,322
342,2010-08-04,2012-02-24,1,18,569
343,2010-08-09,//,9,107,3278
344,2010-08-12,2016-04-15,5,68,2073
345,2010-09-01,2010-10-01,0,1,30
346,2010-09-06,//,9,106,3250
347,2010-09-06,2011-09-20,1,12,379
348,2010-09-13,2019-04-30,8,103,3151
349,2010-09-29,2014-03-14,3,41,1262
350,2010-09-29,2010-12-27,0,2,89
351,2010-10-21,2017-06-30,6,80,2444
352,2010-10-21,2014-08-31,3,46,1410
353,2010-10-21,2011-03-20,0,4,150
354,2010-10-25,2011-03-10,0,4,136
355,2010-11-01,2013-12-06,3,37,1131
356,2010-11-01,2016-04-24,5,65,2001
357,2010-11-01,2010-12-07,0,1,36
358,2010-11-08,2012-07-31,1,20,631
359,2010-11-08,2013-09-22,2,34,1049
360,2010-11-10,2012-09-23,1,22,683
361,2010-11-01,2011-01-21,0,2,81
362,2010-11-22,2010-12-02,0,0,10
363,2010-11-22,2011-03-10,0,3,108
364,2010-12-02,2011-09-20,0,9,292
365,2010-12-06,//,9,103,3159
366,2010-11-21,2011-05-20,0,5,180
367,2011-01-01,2014-12-31,3,47,1460
368,2011-01-01,2015-12-31,4,59,1825
369,2010-12-31,2011-03-24,0,2,83
370,2011-01-03,2011-04-08,0,3,95
371,2011-01-03,2012-11-20,1,22,687
372,2011-01-03,2013-11-20,2,34,1052
373,2011-01-10,2015-12-31,4,59,1816
374,2011-01-24,//,8,102,3110
375,2011-02-07,2012-02-15,1,12,373
376,2011-02-07,2017-06-30,6,76,2335
377,2011-02-14,2012-02-13,0,11,364
378,2011-02-16,2012-12-07,1,21,660
379,2011-02-21,//,8,101,3082
380,2011-02-21,2012-03-18,1,12,391
381,2011-02-21,2012-01-29,0,11,342
382,2011-02-24,//,8,101,3079
383,2011-03-02,2011-09-02,0,6,184
384,2011-03-02,2014-02-28,2,35,1094
385,2011-03-02,2013-03-17,2,24,746
386,2011-03-07,2011-07-25,0,4,140
387,2011-03-07,2012-02-15,0,11,345
388,2011-03-28,2013-04-07,2,24,741
389,2011-04-01,2015-12-31,4,56,1735
390,2011-03-28,2016-06-01,5,62,1892
391,2011-03-31,//,8,100,3044
392,2011-04-01,2016-04-30,5,60,1856
393,2011-04-04,2011-05-11,0,1,37
394,2011-04-04,2015-02-28,3,46,1426
395,2011-04-04,2015-04-30,4,48,1487
396,2011-04-04,2016-04-30,5,60,1853
397,2011-04-04,2011-07-14,0,3,101
398,2011-04-07,2012-02-15,0,10,314
399,2011-04-18,2011-04-20,0,0,2
400,2011-04-21,//,8,99,3023
401,2011-04-21,//,8,99,3023
402,2011-04-25,//,8,99,3019
403,2011-04-25,//,8,99,3019
404,2011-05-02,2011-10-05,0,5,156
405,2011-05-02,2011-10-20,0,5,171
406,2011-05-02,2016-07-31,5,62,1917
407,2011-05-02,2011-12-20,0,7,232
408,2011-05-02,2012-02-21,0,9,295
409,2011-05-13,2013-06-10,2,24,759
410,2011-05-13,2017-06-15,6,73,2225
411,2011-05-16,2015-11-30,4,54,1659
412,2011-05-01,2011-10-31,0,5,183
413,2011-05-01,2011-07-31,0,2,91
414,2011-05-01,2011-07-31,0,2,91
415,2011-05-23,2013-10-31,2,29,892
416,2011-05-30,2018-02-19,6,80,2457
417,2011-05-30,2011-09-02,0,3,95
418,2011-05-23,2012-02-15,0,8,268
419,2011-05-23,2012-02-15,0,8,268
420,2007-09-27,2012-10-10,5,60,1840
421,2008-12-09,//,11,127,3886
422,2010-04-01,2013-10-25,3,42,1303
423,2009-11-23,2013-07-11,3,43,1326
424,2008-06-16,2013-03-20,4,57,1738
