id,duration
575,4784747
576,4989537
577,1265900
578,3444521
579,1265900
580,5561342
581,4539153
582,1265900
583,2915430
584,1265900
585,1265900
586,1141554
587,1141554
588,1265900
589,1265900
590,1225922
591,1141554
592,6263148
593,8931634
594,5080549
595,3559352
596,1265900
597,10620280
598,1265900
599,1265900
600,7689866
601,4997456
602,3750763
603,1265900
604,11795252
605,3237531
606,3001737
607,1028358
608,2474980
609,15950586
610,2513150
611,3264882
612,2468806
613,5591569.021
614,1847335
615,16255102
616,15667173
617,1129519
618,10620166
619,3384975
620,3001737
621,14606105
622,16254583
623,5722369
624,3301399
625,1265900
626,4957764
627,15441433
628,15436794
629,15636492
630,11741564
631,3268891
632,1141554
633,5591569.021
634,3044076
635,695775
636,13486435
637,1968079
638,12143643
639,3339952
640,5942287
641,3709382
642,1141554
643,1028358
644,1846493
645,8975267
646,5612037
647,3443484
648,781361
649,1141554
650,2842915
651,1266322
652,1266322
653,1266322
654,1141554
655,1143105
656,3630304
657,770601
658,14402877
659,999019
660,3862357
661,1141554
662,1269407
663,16070729
664,2398268
665,5591569.021
666,3496836
667,15531366
668,4658565
669,1141554
670,764872
671,764872
672,5591569.021
673,3214847
674,2944758
675,3388398
676,3241214
677,3036632
678,1269407
679,2843474
680,8108805
681,1269407
682,3012437
683,15912751
684,1141554
685,13174417
686,770601
687,15970545
688,770601
689,770601
690,3564420
691,5007579
692,2355901
693,2128281
694,2364425
695,2417682
696,3520064
697,3861616
698,2957741
699,2319411
700,4780939
701,16330047
702,1141554
703,2255615
704,11060166
705,2331574
706,3240578
707,2957217
708,3239452
709,3000684
710,2690531
711,5578430
712,1141326
713,2210855
714,14293259
715,6530645
716,12365660
717,9074117
718,3526948
719,770601
720,3889238
721,6376793
722,17082716
723,1210594
724,1141326
725,3754673
726,16008813
727,5000295
728,3405992
729,3405992
730,2808099
731,695775
732,3010597
733,16472431
734,12969370
735,1256990
736,1616979
737,3858489
738,5269176
739,1141326
740,1256990
741,4817821
742,3637555
743,2235899
744,4547936
745,6822097
746,1308190
747,8152518
748,1256835
749,3010597
750,2903866
751,2944118
752,5591569.021
753,3567701
754,4374469
755,13292489
756,15922229
757,12362835
758,5090423
759,1141326
760,1256835
761,2846027
762,15760817
763,3858317
764,16311839
765,15539101
766,5090423
767,15729166
768,1256835
769,1256835
770,1256835
771,5565072
772,16198288
773,6822897
774,6828163
775,2843047
776,1256835
777,1256835
778,1256835
779,1256835
780,5591569.021
781,5591569.021
782,1256835
783,1141326
784,2843047
785,6527831
786,9429648
787,1141326
788,2843047
789,5399741
790,1256835
791,1256835
792,1141326
793,5029304
794,770601
795,1251553
796,2843047
797,804761
798,11093245
799,6829247
800,1250881
801,5567299
802,1250881
803,2843047
804,5087831
805,1250881
806,5567299
807,12154226
808,15454336
809,5004021
810,16407989
811,14772811
812,14563940
813,12018543
814,15028931
815,5567483
816,3654954
817,15384430
818,16438379
819,15340745
820,15774023
821,6828248
822,16323214
823,14890692
824,11573123
825,923924
826,804761
827,804761
828,262768
829,804761
830,4386046
831,804761
832,15388358
833,15566299
834,1250881
835,1250881
836,6827802
837,8156588
838,1250881
839,2843876
840,804761
841,2850302
842,1251466
843,7442826
844,15515079
845,2911468
846,13336027
847,632515
848,6819803
