id,position,position_number
223,과장,3
224,대리,4
225,대리,4
226,대리,4
227,과장,3
228,사원,6
229,과장,3
230,과장,3
231,과장,3
232,사원,6
233,과장,3
234,차장,2
235,차장,2
236,직장,2
237,대리,4
238,대리,4
239,과장,3
240,이사,
241,차장,2
242,과장,3
243,대리,4
244,사원,6
245,사원,6
246,과장,3
247,사원,6
248,대리,4
249,대리,4
250,사원,6
251,사원,6
252,수습사원,
253,과장,3
254,사원,6
255,사원,6
256,대리,4
257,사원,6
258,과장,3
259,사원,6
260,사원,6
261,사원(시급),6
262,부장,1
263,부장,1
264,부장,1
265,과장,3
266,사외이사,
267,사외이사,
268,사외이사,
269,수습사원,
270,과장,3
271,부사장,
272,부장,1
273,사원,6
274,부장,1
275,전무,
276,부사장,
277,부사장,
278,부장,1
279,이사,
280,사원(시급),6
281,사원(시급),6
282,직장,2
283,과장,3
284,부장,1
285,전무,
286,사원,6
287,사원,6
288,사원,6
289,부장,1
290,사원,6
291,사원,6
292,상무,
293,부장,1
294,부장,1
295,사원(시급),6
296,사원,6
297,과장,3
298,과장,3
299,차장,2
300,차장,2
301,대리,4
302,대리,4
303,과장,3
304,사원,6
305,과장,3
306,사원,6
307,사원,6
308,사원,6
309,과장,3
310,대리,4
311,사원,6
312,사원,6
313,과장,3
314,사원,6
315,사원,6
316,과장,3
317,사원,6
318,사원,6
319,과장,3
320,사원,6
321,사원,6
322,사원,6
323,과장,3
324,과장,3
325,대리,4
326,사원,6
327,고문,
328,사원,6
329,대리,4
330,부장,1
331,직장,2
332,대리,4
333,사원,6
334,대리,4
335,사원,6
336,사원,6
337,반장,3
338,사원(시급),6
339,이사,
340,부장,1
341,이사,
342,대리,4
343,과장,3
344,대리,4
345,사원,6
346,과장,3
347,사원,6
348,대리,4
349,대리,4
350,사원,6
351,사원,6
352,사원,6
353,사원,6
354,직장,2
355,대리,4
356,대리,4
357,대리,4
358,대리,4
359,사원(시급),6
360,사원,6
361,사원,6
362,사원,6
363,수습사원,
364,차장,2
365,사원(시급),6
366,사원,6
367,전무,
368,전무,
369,사원,6
370,수습사원,
371,사원(시급),6
372,과장,3
373,이사,
374,차장,2
375,부장,1
376,부장,1
377,상무,
378,대리,4
379,주임,5
380,대리,4
381,대리,4
382,대리,4
383,사원,6
384,상무,
385,과장,3
386,상무,
387,상무,
388,차장,2
389,고문,
390,대리,4
391,조장,4
392,대리,4
393,차장,2
394,차장,2
395,차장,2
396,직장,2
397,사원,6
398,전무,
399,과장,3
400,차장,2
401,대리,4
402,과장,3
403,조장,4
404,사원,6
405,대리,4
406,대리,4
407,사원,6
408,소장,1
409,사원,6
410,차장,2
411,이사,
412,고문,
413,고문,
414,고문,
415,대리,4
416,과장,3
417,사원,6
418,부장,1
419,이사,
420,반장,3
421,조장,4
422,사원(시급),6
423,사원(시급),6
424,사원(시급),6
425,이사,
426,사원(시급),6
427,이사,
428,부장,1
429,부장,1
430,부장,1
431,차장,2
432,이사,
433,과장,3
434,사원,6
435,차장,2
436,상무,
437,반장,3
438,대리,4
439,차장,2
440,차장,2
441,사원(시급),6
442,사원(시급),6
443,사원(시급),6
444,사원(시급),6
445,사원(시급),6
446,사원,6
447,사원,6
448,대리,4
449,대리,4
450,사원,6
451,사원,6
452,대리,4
453,대리,4
454,대리,4
455,대리,4
456,사원,6
457,상무,
458,과장,3
459,사원,6
460,사원(시급),6
461,사원(시급),6
462,부장,1
463,부장,1
464,사원(시급),6
465,대리,4
466,대리,4
467,대리,4
468,사원,6
469,사원,6
470,수습사원,
471,사원,6
472,사원,6
473,사원,6
474,대리,4
475,사원(시급),6
476,상무,
477,과장,3
478,사원,6
479,사원,6
480,과장,3
481,상무,
482,차장,2
483,차장,2
484,차장,2
485,과장,3
486,대리,4
487,과장,3
488,과장,3
489,대리,4
490,대리,4
491,사원,6
492,부장,1
493,과장,3
494,부장,1
495,차장,2
496,과장,3
497,대리,4
498,대리,4
499,대리,4
500,사원,6
501,대리,4
502,대리,4
503,사원,6
504,사원,6
505,주임,5
