,id,retirement,courier_count,lang_count,age,area,child_count,club_count,club,gender,honey_YN,religion_YN,religion,begin_date,retired_date,working_year,working_month,working_day,position_number,department,main_dep,school_grade,certificate,duration,univ_duration,re_class,re_class2,re_class3
111,112,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-07-23,2011-09-23,4,50,1523,6.0,Design,1.0,0,0.0,0.3703838888888889,1074472.0,0,2,2
112,113,1,0.0,0.0,34,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-07-23,2011-07-08,3,47,1446,4.0,Sales,1.0,0,0.0,4.319320833333333,15675585.0,0,1,1
113,114,1,0.0,0.0,26,Kyongnam,0.0,0.0,0.0,0,0.0,No,No,2007-07-23,2009-12-11,2,28,872,6.0,Sales,1.0,0,0.0,0.9138111111111111,3131393.0,0,1,1
114,115,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-07-23,2012-07-10,4,59,1814,4.0,Warranty,0.0,0,0.0,0.27354527777777776,904537.0,0,2,2
115,116,1,5.0,0.0,57,Chungbuk,3.0,0.0,0.0,1,1.0,Yes,Buddism,2007-08-01,2018-01-31,10,125,3836,1.0,Production_Management,1.0,0,0.0,3.189252222222222,10561908.0,1,3,2
117,118,1,0.0,1.0,31,Kyongnam,0.0,1.0,1.0,0,0.0,Yes,Buddism,2007-08-06,2015-11-30,8,99,3038,4.0,Sales,1.0,0,1.0,0.9138138888888889,2863469.0,1,3,2
118,119,1,0.0,0.0,25,Metropolitan,0.0,0.0,0.0,0,0.0,No,No,2007-08-07,2009-10-30,2,26,815,6.0,Sales,1.0,0,0.0,3.8237408333333334,14462035.0,0,1,1
119,120,1,0.0,0.0,32,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-08-13,2011-07-22,3,47,1439,6.0,Design,1.0,0,0.0,4.366031666666666,15889185.0,0,1,1
120,121,1,0.0,0.0,33,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-08-13,2011-07-27,3,47,1444,4.0,Warranty,0.0,0,0.0,0.38033833333333333,1022803.0,0,1,1
122,123,0,1.0,0.0,46,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2007-09-21,//,12,142,4331,1.0,Production_support,0.0,0,0.0,0.30469666666666667,1267979.0,1,3,2
123,124,0,1.0,0.0,48,Kyongnam,3.0,2.0,1.0,1,1.0,No,No,2007-10-11,//,12,141,4311,3.0,Production_Management,1.0,0,0.0,0.3159825,16843943.0,1,3,2
124,125,1,1.0,0.0,45,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2007-10-15,2015-02-28,7,88,2693,1.0,Financial_management,0.0,0,0.0,0.6779536111111111,2919980.0,0,3,2
125,126,1,0.0,0.0,59,Kyongnam,2.0,2.0,1.0,1,1.0,No,No,2007-10-15,2012-09-30,4,59,1812,2.0,Production_support,0.0,0,0.0,0.44600805555555556,1528231.0,0,2,2
126,127,0,0.0,1.0,38,Kyongnam,1.0,0.0,0.0,1,1.0,No,No,2007-10-29,//,12,141,4293,3.0,Design,1.0,0,0.0,0.3770136111111111,1267979.0,1,3,2
127,128,1,0.0,1.0,32,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-10-29,2013-05-21,5,66,2031,4.0,Technology,1.0,0,1.0,0.7361786111111112,3667289.0,0,3,2
130,131,1,0.0,0.0,32,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-10-29,2012-02-21,4,51,1576,6.0,Sales,1.0,0,0.0,4.2896,15516479.0,0,2,2
131,132,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-10-29,2011-12-09,4,49,1502,6.0,Business_management,1.0,0,0.0,0.28936,1055901.0,0,2,2
132,133,0,0.0,1.0,37,Kyongnam,2.0,2.0,1.0,0,1.0,No,No,2007-10-29,//,12,141,4293,4.0,Warranty,0.0,0,0.0,0.35494555555555557,2863469.0,1,3,2
133,134,1,0.0,0.0,31,Kyongnam,0.0,0.0,0.0,1,0.0,No,No,2007-10-29,2010-07-21,2,32,996,6.0,Warranty,0.0,0,0.0,1.3443830555555556,4628493.0,0,1,1
134,135,1,2.0,0.0,41,Kyongnam,2.0,1.0,1.0,1,1.0,No,No,2007-11-01,2013-09-30,5,70,2160,4.0,Production_support,0.0,0,0.0,0.20847388888888888,3815859.0,0,3,2
135,136,1,4.0,0.0,47,Kyongnam,2.0,2.0,1.0,1,1.0,Yes,Buddism,2007-11-01,2014-03-16,6,76,2327,1.0,Production_Management,1.0,0,0.0,0.4639286111111111,3289275.0,0,3,2
136,137,1,0.0,1.0,36,Metropolitan,0.0,1.0,1.0,1,0.0,Yes,Catholic,2007-11-21,2015-11-30,8,96,2931,4.0,Design,1.0,1,0.0,4.418623611111111,15545057.0,1,3,2
137,138,1,0.0,0.0,30,Metropolitan,0.0,0.0,0.0,1,0.0,No,No,2007-11-21,2012-02-10,4,50,1542,6.0,Sales,1.0,0,0.0,4.224297222222222,15214486.0,0,2,2
